date,day_of_week,bedtime,wake_time,total_sleep_hours,deep_sleep_hours,rem_sleep_hours,awakenings,sleep_quality
2026-01-01,Thursday,23:00,08:20,6.45,1.03,1.14,1,average
2026-01-02,Friday,00:00,11:26,8.92,1.61,1.96,6,poor
2026-01-03,Saturday,04:00,13:34,9.43,1.68,1.75,2,excellent
2026-01-05,Monday,01:37,08:07,6.5,0.95,0.93,3,average
2026-01-06,Tuesday,04:49,11:13,6.4,1.27,1.19,3,average
2026-01-07,Wednesday,01:05,08:16,7.18,1.16,1.37,3,average
2026-01-08,Thursday,01:22,08:03,6.68,0.83,0.95,6,poor
2026-01-09,Friday,02:12,11:23,9.18,1.47,1.94,6,poor
2026-01-10,Saturday,02:11,13:27,11.27,1.59,2.24,2,excellent
2026-01-11,Sunday,03:14,13:49,10.58,2.03,2.26,0,excellent
2026-01-12,Monday,01:27,08:12,6.75,1.05,1.19,2,average
2026-01-13,Tuesday,03:12,10:37,7.42,1.41,1.46,0,average
2026-01-14,Wednesday,02:51,08:22,5.52,0.88,1.1,2,average
2026-01-15,Thursday,01:47,08:17,6.5,0.96,1.29,2,average
2026-01-16,Friday,03:58,09:47,5.82,0.86,1.34,2,average
2026-01-17,Saturday,03:11,12:46,9.58,1.65,1.9,2,excellent
2026-01-19,Monday,01:41,08:13,6.53,0.76,0.96,0,average
2026-01-20,Tuesday,03:39,09:43,6.07,0.91,1.31,7,poor
2026-01-21,Wednesday,02:43,08:20,5.62,1.03,1.2,1,average
2026-01-22,Thursday,01:25,08:01,6.6,0.81,1.04,3,average
2026-01-23,Friday,03:52,11:08,7.27,1.15,1.51,7,poor
2026-01-24,Saturday,03:32,12:47,9.25,1.33,2.04,3,excellent
2026-01-25,Sunday,04:34,12:43,8.15,1.41,1.49,1,good
2026-01-26,Monday,01:28,08:12,6.73,0.98,1.29,3,average
2026-01-27,Tuesday,04:02,11:13,7.18,1.4,1.65,5,poor
2026-01-28,Wednesday,01:04,08:25,7.35,1.35,1.75,0,average
2026-01-29,Thursday,01:22,08:09,6.78,0.9,1.27,6,poor
2026-01-30,Friday,03:43,10:50,7.12,1.03,1.34,5,poor
2026-01-31,Saturday,03:06,11:21,8.25,1.32,1.77,3,good
2026-02-01,Sunday,03:59,11:48,7.82,1.43,1.63,1,good
2026-02-02,Monday,01:05,08:02,6.95,1.15,1.15,4,poor
2026-02-03,Tuesday,03:25,11:05,7.67,1.27,1.64,1,average
2026-02-04,Wednesday,01:56,08:23,6.45,1.07,1.46,6,poor
2026-02-05,Thursday,01:22,08:18,6.93,0.87,1.27,4,poor
2026-02-06,Friday,04:32,10:54,6.37,1.06,1.5,0,average
2026-02-07,Saturday,02:43,13:02,10.32,1.65,1.88,3,excellent
2026-02-08,Sunday,02:30,12:22,9.87,1.93,1.86,0,excellent
2026-02-09,Monday,01:53,08:15,6.37,0.95,1.07,1,average
2026-02-10,Tuesday,02:35,10:58,8.38,1.35,1.8,5,poor
2026-02-11,Wednesday,01:24,08:22,6.97,1.22,1.3,0,average
2026-02-12,Thursday,01:05,08:13,7.13,0.96,1.18,1,average
2026-02-13,Friday,02:22,11:02,8.67,1.57,1.59,5,poor
2026-02-14,Saturday,04:37,11:35,6.97,1.14,1.53,1,good
2026-02-15,Sunday,02:16,12:25,10.15,1.48,2.05,2,excellent
2026-02-16,Monday,01:37,08:20,6.72,1.06,1.14,3,average
2026-02-17,Tuesday,02:36,09:40,7.07,1.27,1.43,7,poor
2026-02-18,Wednesday,02:35,08:16,5.68,0.93,1.17,0,average
2026-02-19,Thursday,01:18,08:07,6.82,1.23,1.24,6,poor
2026-02-20,Friday,03:28,10:33,7.08,1.27,1.56,3,average
2026-02-21,Saturday,04:20,13:16,8.93,1.59,2.13,1,good
2026-02-23,Monday,01:44,08:00,6.27,0.88,1.08,1,average
2026-02-24,Tuesday,04:00,11:16,7.27,1.39,1.6,3,average
2026-02-25,Wednesday,01:29,08:25,6.93,1.15,1.29,4,poor
2026-02-26,Thursday,01:43,08:05,6.37,0.93,1.14,1,average
2026-02-27,Friday,02:45,10:37,7.87,1.38,1.47,5,poor
