date,day_of_week,bedtime,wake_time,total_sleep_hours,deep_sleep_hours,rem_sleep_hours,awakenings,sleep_quality
2026-01-01,Thursday,02:41,08:30,5.83,1.08,1.22,0,average
2026-01-02,Friday,03:28,09:22,5.91,0.84,1.42,3,average
2026-01-03,Saturday,02:40,11:34,8.9,1.51,2.22,2,excellent
2026-01-04,Sunday,04:58,13:26,8.48,1.65,2.04,2,excellent
2026-01-05,Monday,03:42,09:36,5.91,0.88,1.3,0,poor
2026-01-06,Tuesday,04:17,09:26,5.15,1.07,0.94,4,average
2026-01-07,Wednesday,03:05,08:22,5.28,1.05,1.01,0,average
2026-01-08,Thursday,03:38,08:55,5.29,0.78,1.32,1,poor
2026-01-09,Friday,03:41,09:25,5.75,0.88,1.16,2,average
2026-01-10,Saturday,04:06,13:08,9.04,1.56,1.88,1,excellent
2026-01-11,Sunday,03:33,12:48,9.25,1.33,2.05,1,excellent
2026-01-12,Monday,03:57,09:29,5.55,1.19,1.41,2,average
2026-01-13,Tuesday,03:13,08:31,5.31,0.93,1.06,2,poor
2026-01-14,Wednesday,02:58,08:16,5.3,0.95,1.3,4,average
2026-01-15,Thursday,03:04,09:08,6.08,1.33,1.21,0,average
2026-01-16,Friday,02:44,08:41,5.96,1.24,1.11,4,poor
2026-01-17,Saturday,02:58,11:58,9.01,1.35,1.98,1,good
2026-01-18,Sunday,02:32,12:09,9.62,2.08,2.3,2,good
2026-01-19,Monday,03:45,09:06,5.35,0.94,1.11,2,average
2026-01-20,Tuesday,02:53,08:40,5.79,1.11,1.13,0,average
2026-01-21,Wednesday,02:32,08:20,5.8,1.21,1.18,2,poor
2026-01-22,Thursday,02:47,08:56,6.15,1.33,1.24,0,average
2026-01-23,Friday,03:54,09:35,5.68,0.87,1.28,2,average
2026-01-24,Saturday,03:45,13:14,9.49,1.96,1.85,0,excellent
2026-01-25,Sunday,04:19,13:09,8.85,1.41,1.73,1,excellent
2026-01-26,Monday,03:43,09:39,5.94,0.84,1.32,4,poor
2026-01-27,Tuesday,03:40,08:40,5.01,0.99,0.94,0,poor
2026-01-28,Wednesday,02:17,08:18,6.02,1.09,1.49,2,average
2026-01-29,Thursday,03:58,09:32,5.58,1.18,1.09,3,poor
2026-01-30,Friday,04:02,09:13,5.19,1.0,1.05,1,poor
2026-01-31,Saturday,04:53,14:25,9.55,1.72,2.34,0,good
2026-02-01,Sunday,02:48,12:21,9.56,1.59,2.34,1,good
2026-02-02,Monday,03:31,08:48,5.29,0.88,1.09,4,average
2026-02-03,Tuesday,03:32,08:58,5.44,1.16,1.34,2,average
2026-02-04,Wednesday,03:20,08:24,5.07,1.0,1.13,1,average
2026-02-05,Thursday,03:01,08:35,5.57,1.14,1.07,0,poor
2026-02-06,Friday,03:33,08:54,5.36,0.92,1.16,1,poor
2026-02-07,Saturday,04:47,13:08,8.36,1.35,1.54,2,good
2026-02-08,Sunday,04:45,13:25,8.68,1.34,2.07,2,good
2026-02-09,Monday,04:29,09:36,5.12,0.76,1.11,1,average
2026-02-10,Tuesday,04:19,09:28,5.16,1.02,1.1,4,average
2026-02-11,Wednesday,02:23,08:16,5.88,1.15,1.31,3,average
2026-02-12,Thursday,02:53,09:03,6.17,1.32,1.19,2,average
2026-02-13,Friday,02:56,08:36,5.67,1.13,1.28,1,poor
2026-02-14,Saturday,04:25,13:48,9.4,1.78,2.36,2,excellent
2026-02-15,Sunday,03:59,13:28,9.5,1.96,2.33,0,good
2026-02-16,Monday,03:12,08:39,5.46,0.78,1.2,1,average
2026-02-17,Tuesday,04:30,09:43,5.23,1.11,1.25,1,poor
2026-02-18,Wednesday,02:21,08:18,5.95,0.97,1.51,3,average
2026-02-19,Thursday,03:25,08:53,5.48,1.07,1.29,2,poor
2026-02-20,Friday,03:29,09:31,6.04,1.22,1.13,2,poor
2026-02-21,Saturday,03:13,13:10,9.96,1.55,2.57,1,excellent
